url,marca,modelo,año,precio,imagen
https://articulo.tucarro.com.co/MCO-3207721246-renault-duster-intens-mt-13-turbo-4x4-2024-_JM,Renault,Duster,2024,88900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3207721246.webp
https://articulo.tucarro.com.co/MCO-1699961273-renault-captur-2020-_JM,Renault,Captur,2020,62900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1699961273.webp
https://articulo.tucarro.com.co/MCO-1707626031-renault-koleos-25-zen-_JM,Renault,Koleos,2022,88900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1707626031.webp
https://articulo.tucarro.com.co/MCO-3117957376-renault-kangoo-_JM,Renault,Kangoo,2026,79990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3117957376.webp
https://articulo.tucarro.com.co/MCO-1690047123-renault-koleos-20-dynamique-plus-_JM,Renault,Koleos,2011,41900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1690047123.webp
https://articulo.tucarro.com.co/MCO-1698533063-renault-logan-privilege-2019-16-_JM,Renault,Logan,2019,41900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1698533063.webp
https://articulo.tucarro.com.co/MCO-1666893029-mazda-2-sedan-touring-automatico-pano-ipm-2026-_JM,Mazda,2 Sedan,2026,83920000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1666893029.webp
https://articulo.tucarro.com.co/MCO-1539827351-mazda-3-touring-hibrido-modelo-2026-_JM,Mazda,3,2023,117500000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1539827351.webp
https://articulo.tucarro.com.co/MCO-2805129598-mazda-3-sedan-grand-touring-carbon-edition-_JM,Mazda,3,2025,131350000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/2805129598.webp
https://articulo.tucarro.com.co/MCO-1707752683-mazda-2-15-touring-_JM,Mazda,2,2023,74900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1707752683.webp
https://articulo.tucarro.com.co/MCO-2814442356-mazda-2-sport-_JM,Mazda,2 Sport,2025,82750000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/2814442356.webp
https://articulo.tucarro.com.co/MCO-1691030277-cx-9-signature-25t-awd-at-_JM,Mazda,CX-9,2022,149990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1691030277.webp
https://articulo.tucarro.com.co/MCO-1690027477-mazda-cx-30-20-grand-touring-at-_JM,Mazda,CX-30,2023,112990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1690027477.webp
https://articulo.tucarro.com.co/MCO-3131596882-mazda-cx-30-grand-touring-hibrida-new-2026-_JM,Mazda,CX-30,2026,131300000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3131596882.webp
https://articulo.tucarro.com.co/MCO-1642991037-mazda-cx-5-20-l-at-4x2-2026-cuero-_JM,Mazda,CX-5,2026,143650000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1642991037.webp
https://articulo.tucarro.com.co/MCO-1690137519-mazda-cx-30-20-grand-touring-at-hibrido-ligero-mhev-_JM,Mazda,CX-30,2023,114900000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1690137519.webp
https://articulo.tucarro.com.co/MCO-3180036704-ford-bronco-badlands-27-4x4-2025-_JM,Ford,Bronco,2025,329990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/3180036704.webp
https://articulo.tucarro.com.co/MCO-1662246645-ford-bronco-badlands-4x4-2025-_JM,Ford,Bronco,2025,329990000,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1662246645.webp
https://articulo.tucarro.com.co/MCO-1684425947-ford-mustang-gt-premium-_JM,Ford,Mustang GT,2025,279989999,https://oielbczfjirunzydccod.supabase.co/storage/v1/object/public/SCBIR/Carros/1684425947.webp
